ra              dec            obs_date    obs_time    exposure    exposure_times
127.8796254    16.72641174    20181210    274200    1200    3
149.9102159    36.31717069    20181210    292200    1200    3
317.4316704    -4.262435039    20181211    174100    1200    3
7.651563413    -7.183696198    20181211    192100    1200    3
9.220679667    15.61252512    20181211    210100    1200    3
50.89244771    38.67197688    20181211    224100    1200    3
55.14875238    47.34762785    20181211    242100    1200    3
100.4822895    55.50360541    20181211    260100    1200    3
123.9911724    45.15017245    20181211    274100    1200    3
128.0006622    28.04254896    20181211    292100    1200    3
340.7647092    8.360563894    20181212    174000    1200    3
4.155052893    29.70725283    20181212    192000    1200    3
7.693201909    22.42777551    20181212    210000    1200    3
34.37886107    22.12061205    20181212    224000    1200    3
68.43520443    -1.740218568    20181212    242000    1200    3
93.0664487    32.27227957    20181212    260000    1200    3
113.9132493    46.42324138    20181212    274000    1200    3
142.173951    47.23450129    20181212    292000    1200    3
339.6756021    45.45968774    20181213    173900    1200    3
0.2257879202    42.245459    20181213    191900    1200    3
34.04637354    37.85201609    20181213    205900    1200    3
38.64562401    55.66195107    20181213    223900    1200    3
72.43188452    -9.955688078    20181213    241900    1200    3
92.6924812    26.92135145    20181213    255900    1200    3
119.3835989    15.83306231    20181213    273900    1200    3
145.4103828    31.66261504    20181213    291900    1200    3
325.0017056    42.03273277    20181214    173800    1200    3
344.6077113    54.3457986    20181214    191800    1200    3
12.99740199    29.89936898    20181214    205800    1200    3
46.49311797    30.21678272    20181214    223800    1200    3
80.76707129    52.24363973    20181214    241800    1200    3
